dimension,n,avg_weight,total_time_ms,gen_time_ms,mst_time_ms
3,128,17.515882,5,3,1
3,256,27.647053,10,5,4
3,512,43.252533,22,13,8
3,1024,67.884026,39,22,17
3,2048,107.16469,76,42,33
3,4096,169.45723,147,79,68
3,8192,266.82678,290,160,129
3,16384,422.40387,625,362,263
3,32768,668.7501,1711,1185,526
