dimension,n,avg_weight
4,128,28.578762
4,256,46.84655
4,512,78.055565
4,1024,129.75961
4,2048,216.9642
4,4096,362.35345
4,8192,602.61426
4,16384,1007.57874
4,32768,1689.5693
