dimension,n,avg_weight,total_time_ms,gen_time_ms,mst_time_ms
1,128,11.997475,2,1,0
1,256,21.548994,5,3,1
1,512,37.054363,9,6,3
1,1024,65.73502,20,12,7
1,2048,119.55332,42,26,16
1,4096,219.46927,86,52,34
1,8192,398.11176,186,109,76
1,16384,739.29956,393,220,173
1,32768,1373.2826,884,497,386
1,65536,2573.3472,2057,1216,841
1,131072,4837.479,5440,3599,1840
1,262144,9100.208,16275,11994,4280
