dimension,n,avg_weight
1,128,12.730571
1,256,20.997444
1,512,37.621773
1,1024,66.49907
1,2048,117.8905
1,4096,219.61421
1,8192,399.04663
1,16384,739.4429
1,32768,1378.6267
1,65536,2577.9712
1,131072,4829.705
1,262144,9114.725
