dimension,n,avg_weight,total_time_ms,gen_time_ms,mst_time_ms
2,128,7.5659113,7,5,2
2,256,10.709391,9,4,4
2,512,14.844149,17,8,9
2,1024,20.90371,34,16,18
2,2048,29.777063,67,31,36
2,4096,41.907936,138,63,74
2,8192,58.937916,274,136,138
2,16384,83.176186,547,272,274
2,32768,117.43722,1328,773,555
