dimension,n,avg_weight,total_time_ms,gen_time_ms,mst_time_ms
0,128,1.2492102,3,2,0
0,256,1.152927,5,4,1
0,512,1.1841295,9,5,3
0,1024,1.1878988,19,12,7
0,2048,1.1915976,38,23,15
0,4096,1.2047789,82,50,31
0,8192,1.1930516,185,115,69
0,16384,1.2058111,388,237,150
0,32768,1.1982634,935,609,325
